Origem - Cidade,Destino - Cidade,Distance (GCD),Latitude_Origin,Longitude_Origin,Latitude_Destination,Longitude_Destination
Oklahoma,Porto Alegre,8686.846986,34.955082,-97.268406,-30.0325,-51.230377
Porto Alegre,San José,5664.732291,-30.0325,-51.230377,9.932771,-84.079614
Altamira,Bauru,8626.452666,43.376844,-4.119748,-22.31738,-49.068978
Bauru,Altamira,8626.452666,-22.31738,-49.068978,43.376844,-4.119748
São Paulo,Altamira,8615.688314,-23.550651,-46.633382,43.376844,-4.119748
Cidade do Panamá,Guarulhos,7441.108762,19.462325,-99.177242,-23.467594,-46.52777
Brasília,Paranatinga,464.768501,-10.333333,-53.2,-14.429786,-54.050343
Nova Mutum,Tangará da Serra,175.475472,-13.825502,-56.084926,-14.62139,-57.490727
Paranatinga,Nova Mutum,229.449902,-14.429786,-54.050343,-13.825502,-56.084926
Vilhena,Ji-Paraná,283.397659,-12.736854,-60.146556,-10.877815,-61.927785
Fortaleza,Cruz,221.265006,-3.793217,-38.528036,-2.885101,-40.301649
Cruz,Fortaleza,221.265006,-2.885101,-40.301649,-3.793217,-38.528036
Cancun,Brasília,5075.549413,21.152747,-86.842576,-10.333333,-53.2
Brasília,Cancun,5075.549413,-10.333333,-53.2,21.152747,-86.842576
Foz do Iguaçu,Paramaribo,3487.039455,-25.530402,-54.583069,5.824176,-55.166281
Água Boa,Manaus,2530.990811,-17.995641,-42.389926,-3.131633,-59.982504
Confins,Sinop,10570.808305,-19.627875,-43.991231,41.647638,34.956014
Rio de Janeiro,Bucareste,10263.749021,-22.911014,-43.209373,44.436141,26.102684
Bucareste,Rio de Janeiro,10263.749021,44.436141,26.102684,-22.911014,-43.209373
Campina Grande,Teresina,801.87033,-7.224674,-35.877129,-5.087461,-42.804957
Teresina,Campina Grande,801.87033,-5.087461,-42.804957,-7.224674,-35.877129
Paraíso do Tocantins,Redenção,1301.004782,-10.175247,-48.886759,-4.224398,-38.727846
São Félix do Xingu,Belém,695.929554,-6.638697,-51.978758,-1.45056,-48.468245
Heráklion,Brasília,9978.424067,31.302979,30.120813,-10.333333,-53.2
Brasília,Heráklion,9978.424067,-10.333333,-53.2,31.302979,30.120813
Madri,Lisboa,8342.21337,25.049132,81.377551,38.707751,-9.136592
Resende,Brasília,1639.635558,-22.468363,-44.446349,-10.333333,-53.2
Ottawa,Cidade da Guatemala,3694.225985,45.420878,-75.690111,14.641614,-90.513284
Araguaína,Montes Claros,1162.36803,-7.193657,-48.206464,-16.749573,-43.868727
Imperatriz,Araguaína,202.05472,-5.526928,-47.478115,-7.193657,-48.206464
Cacoal,Imperatriz,1669.536579,-11.4333,-61.44205,-5.526928,-47.478115
Janaúba,Barretos,766.27847,-15.810374,-43.305212,-20.553144,-48.569751
Tabatinga,São Paulo,291.732455,-21.737377,-48.688052,-23.550651,-46.633382
Dublin,Telavive,8753.679204,53.34938,-6.260559,-14.419068,-53.120019
Porto Velho,Navegantes,2576.060052,-8.749452,-63.873544,-26.889881,-48.649583
Navegantes,Porto Velho,2576.060052,-26.889881,-48.649583,-8.749452,-63.873544
Madri,Belo Horizonte,14405.082257,25.049132,81.377551,-19.922732,-43.945095
Belo Horizonte,São João Del Rei,138.546031,-19.922732,-43.945095,-21.133576,-44.258809
Rio Branco,Teresina,2809.604788,-9.976536,-67.822078,-5.087461,-42.804957
Goiânia,Paris,8883.433193,-16.680882,-49.253269,48.85889,2.320041
Paris,Goiânia,8883.433193,48.85889,2.320041,-16.680882,-49.253269
Marabá,Montes Claros,1390.185619,-5.346282,-49.10074,-16.749573,-43.868727
Montes Claros,Marabá,1390.185619,-16.749573,-43.868727,-5.346282,-49.10074
Marabá,Juiz de Fora,1927.370246,-5.346282,-49.10074,-21.760953,-43.350113
Salvador,Altamira,8542.927788,13.800038,-88.914068,43.376844,-4.119748
Paris,Milão,641.646298,48.85889,2.320041,45.464194,9.189635
Milão,Roma,477.186331,45.464194,9.189635,41.89332,12.482932
Roma,Paris,1107.265562,41.89332,12.482932,48.85889,2.320041
Lisboa,Londres,1586.385666,38.707751,-9.136592,51.507446,-0.127765
Brasília,Cracóvia,9716.479489,-10.333333,-53.2,50.061947,19.936856
Cracóvia,Brasília,9716.479489,50.061947,19.936856,-10.333333,-53.2
Guarulhos,Norfolk-Virginia,7397.036311,-23.467594,-46.52777,36.84937,-76.289954
Eirunepé,Tefé,679.275452,-6.656765,-69.866161,-3.348528,-64.710228
Tefé,Eirunepé,679.275452,-3.348528,-64.710228,-6.656765,-69.866161
Campina Grande,Petrolina,562.025447,-7.224674,-35.877129,-9.381733,-40.496888
Petrolina,Campina Grande,562.025447,-9.381733,-40.496888,-7.224674,-35.877129
Fernandópolis,Bauru,257.223598,-20.282565,-50.250076,-22.31738,-49.068978
Cascavel,São José do Rio Preto,621.621919,-24.9555,-53.456054,-20.812585,-49.380421
Cidade do México,Hanói,14767.634965,19.320772,-99.151468,21.028333,105.854041
Belo Horizonte,Pelotas,1561.02827,-19.922732,-43.945095,-31.769974,-52.341016
Pelotas,Belo Horizonte,1561.02827,-31.769974,-52.341016,-19.922732,-43.945095
Presidente Prudente,Curitiba,426.156952,-22.122517,-51.388253,-25.429596,-49.271272
Curitiba,Presidente Prudente,426.156952,-25.429596,-49.271272,-22.122517,-51.388253
São Luís,Barra do Garças,1722.847574,-2.529526,-44.296394,-15.891591,-52.261839
Rio de Janeiro,Kuala Lumpur,15645.762867,-22.911014,-43.209373,3.151696,101.694237
Los Angeles,Genebra,9495.441668,34.053691,-118.242766,46.201756,6.146601
Santiago de Compostela,Paris,1066.921291,42.906458,-8.519298,48.85889,2.320041
Paris,Santiago de Compostela,1066.921291,48.85889,2.320041,42.906458,-8.519298
Recife,Campos dos Goytacazes,1671.915872,-8.058493,-34.884819,-21.7546,-41.3242
Campos dos Goytacazes,Recife,1671.915872,-21.7546,-41.3242,-8.058493,-34.884819
Imperatriz,Goiânia,1255.24385,-5.526928,-47.478115,-16.680882,-49.253269
Belo Horizonte,Ponta Grossa,858.58823,-19.922732,-43.945095,-25.089168,-50.160181
Ponta Grossa,Belo Horizonte,858.58823,-25.089168,-50.160181,-19.922732,-43.945095
Goiânia,Porto,7672.043617,-16.680882,-49.253269,41.15022,-8.61035
Porto,Goiânia,7672.043617,41.15022,-8.61035,-16.680882,-49.253269
Kalamazoo - Michigan,Chicago,174.36662,42.291707,-85.587229,41.875562,-87.624421
Chicago,São Paulo,8407.550853,41.875562,-87.624421,-23.550651,-46.633382
Los Angeles,San Diego Califórnia,179.252821,34.053691,-118.242766,32.71742,-117.162772
Nova York,Telavive,6497.7671,40.712728,-74.006015,-14.419068,-53.120019
Fortaleza,Caucaia,29.226548,-3.793217,-38.528036,-3.771737,-38.790569
Las Vegas,Rio de Janeiro,10002.476359,36.167426,-115.148413,-22.911014,-43.209373
Rio de Janeiro,Las Vegas,10002.476359,-22.911014,-43.209373,36.167426,-115.148413
Montevidéu,Goiânia,2140.616894,-34.905892,-56.19131,-16.680882,-49.253269
Goiânia,Montevidéu,2140.616894,-16.680882,-49.253269,-34.905892,-56.19131
Belém,Montevidéu,3805.146859,-1.45056,-48.468245,-34.905892,-56.19131
Brasília,Pirassununga,1435.504467,-10.333333,-53.2,-21.998047,-47.428086
Itamarati,Tefé,520.836237,-6.438519,-68.243738,-3.348528,-64.710228
Tefé,Itamarati,520.836237,-3.348528,-64.710228,-6.438519,-68.243738
Boa Vista,Santa Maria,3687.697064,2.820848,-60.671958,-29.686051,-53.806921
Brasília,Bonito,9000.607786,-10.333333,-53.2,41.09772,15.001344
Brasília,Nouakchott,5164.542373,-10.333333,-53.2,18.079238,-15.978007
Daca,Brasília,15882.332372,23.764386,90.389014,-10.333333,-53.2
Cairo,Daca,5844.051625,30.044388,31.235726,23.764386,90.389014
Brasília,Bangalore,14655.724646,-10.333333,-53.2,12.976794,77.590082
Bangalore,Brasília,14655.724646,12.976794,77.590082,-10.333333,-53.2
Nursultan,Miami,11022.970174,51.12822,71.430668,25.774157,-80.193597
Pisa,Brasília,8783.73955,43.471472,10.679791,-10.333333,-53.2
Brasília,Pisa,8783.73955,-10.333333,-53.2,43.471472,10.679791
Cidade do México,Belo Horizonte,7430.756082,19.320772,-99.151468,-19.922732,-43.945095
Belo Horizonte,Cidade do México,7430.756082,-19.922732,-43.945095,19.320772,-99.151468
Belo Horizonte,Bangalore,13761.219547,-19.922732,-43.945095,12.976794,77.590082
Bangalore,Belo Horizonte,13761.219547,12.976794,77.590082,-19.922732,-43.945095
Brasília,Indore,14442.06729,-10.333333,-53.2,22.720362,75.8682
Indore,Brasília,14442.06729,22.720362,75.8682,-10.333333,-53.2
Uberlândia,Lisboa,7594.329151,-18.918804,-48.276784,38.707751,-9.136592
Lisboa,Uberlândia,7594.329151,38.707751,-9.136592,-18.918804,-48.276784
Corumbá,Belo Horizonte,1440.176591,-19.000603,-57.650754,-19.922732,-43.945095
Campo Grande,Piracicaba,762.815003,-20.464017,-54.616295,-22.725165,-47.649327
Piracicaba,Campo Grande,762.815003,-22.725165,-47.649327,-20.464017,-54.616295
Paris,Adis-Ababa,5574.291175,48.85889,2.320041,9.035812,38.752432
Brasília,Resende,1639.635558,-10.333333,-53.2,-22.468363,-44.446349
Guaratinguetá,Brasília,1627.356471,-22.805784,-45.190893,-10.333333,-53.2
Brasília,Guaratinguetá,1627.356471,-10.333333,-53.2,-22.805784,-45.190893
Uberaba,Natal,2073.285052,-19.750833,-47.936666,-5.805398,-35.20809
Natal,Uberaba,2073.285052,-5.805398,-35.20809,-19.750833,-47.936666
Brasília,Baku,11850.182658,-10.333333,-53.2,40.375588,49.832801
Baku,Brasília,11850.182658,40.375588,49.832801,-10.333333,-53.2
Londrina,Pelotas,930.048008,-23.476127,-51.117901,-31.769974,-52.341016
Pelotas,Londrina,930.048008,-31.769974,-52.341016,-23.476127,-51.117901
Amã,Miami,10685.742446,31.951569,35.923962,25.774157,-80.193597
Visakhapatnam,Brasília,15261.109967,17.693553,83.29213,-10.333333,-53.2
Brasília,Visakhapatnam,15261.109967,-10.333333,-53.2,17.693553,83.29213
Parauapebas/Carajás,Uberlândia,1441.771645,-6.070533,-50.067941,-18.918804,-48.276784
Uberlândia,Parauapebas/Carajás,1441.771645,-18.918804,-48.276784,-6.070533,-50.067941
Argel,Curitiba,8821.932723,36.772933,3.058844,-25.429596,-49.271272
Curitiba,Argel,8821.932723,-25.429596,-49.271272,36.772933,3.058844
Parnaíba,Belo Horizonte,1905.931696,-2.914752,-41.766195,-19.922732,-43.945095
Lagoa da Confusão,Palmas,156.125581,-10.788304,-49.622443,-10.183785,-48.333642
Altamira,Imperatriz,6963.163029,43.376844,-4.119748,-5.526928,-47.478115
Imperatriz,Lagoa da Confusão,630.821981,-5.526928,-47.478115,-10.788304,-49.622443
Corumbá,Campo Grande,356.848487,-19.000603,-57.650754,-20.464017,-54.616295
Curitiba,Ponta Porã,730.439722,-25.429596,-49.271272,-22.528692,-55.723426
Ponta Porã,Curitiba,730.439722,-22.528692,-55.723426,-25.429596,-49.271272
Edimburgo,Porto Alegre,10585.765504,55.953346,-3.188375,-30.0325,-51.230377
Porto Alegre,Edimburgo,10585.765504,-30.0325,-51.230377,55.953346,-3.188375
Budapeste,Genebra,989.883047,47.497879,19.040238,46.201756,6.146601
Jacarta,Guarulhos,15629.407959,-6.175405,106.827168,-23.467594,-46.52777
Copenhague,Fortaleza,8075.760086,55.686724,12.570072,-3.793217,-38.528036
Fortaleza,Copenhague,8075.760086,-3.793217,-38.528036,55.686724,12.570072
Breu Branco,Tucuruí,10.944858,-3.778507,-49.56848,-3.766334,-49.666365
Cascavel,Jaguaruna,599.456408,-24.9555,-53.456054,-28.623736,-49.028866
Jaguaruna,Cascavel,599.456408,-28.623736,-49.028866,-24.9555,-53.456054
Luís Gomes,Natal,357.960024,-6.414179,-38.387294,-5.805398,-35.20809
Guarulhos,Shannon,8217.058183,-23.467594,-46.52777,37.149805,-91.432824
Shannon,Lisboa,6954.872238,37.149805,-91.432824,38.707751,-9.136592
Bruxelas,Curitiba,9974.369107,50.846737,4.352493,-25.429596,-49.271272
Fortaleza,Buenos Aires,3992.704242,-3.793217,-38.528036,-34.609558,-58.38879
Buenos Aires,Fortaleza,3992.704242,-34.609558,-58.38879,-3.793217,-38.528036
Joinville,Fortaleza,7180.577317,48.443325,5.137754,-3.793217,-38.528036
Fortaleza,Joinville,7180.577317,-3.793217,-38.528036,48.443325,5.137754
Uruguaiana,Belém,3276.676449,-29.756073,-57.086755,-1.45056,-48.468245
Belém,Uruguaiana,3276.676449,-1.45056,-48.468245,-29.756073,-57.086755
Cartum,Iaundê,2640.715102,15.563597,32.534912,3.868987,11.521334
Berlim,Belmopan,9287.015204,52.517388,13.395131,17.250199,-88.770018
Cidade do México,Porto Alegre,7510.963467,19.320772,-99.151468,-30.0325,-51.230377
Parintins,Porto Velho,1042.176238,-2.634457,-56.731932,-8.749452,-63.873544
Izmir,Brasília,9892.700568,38.419254,27.128469,-10.333333,-53.2
Brasília,Izmir,9892.700568,-10.333333,-53.2,38.419254,27.128469
Itajaí,Rio de Janeiro,706.1298,-26.904679,-48.655298,-22.911014,-43.209373
Labuan Bajo,Brasília,17786.051393,-8.49442,119.885569,-10.333333,-53.2
Bali,Labuan Bajo,517.214206,-8.22713,115.19192,-8.49442,119.885569
Brasília,Katmandu,15276.580485,-10.333333,-53.2,27.708317,85.320582
Katmandu,Brasília,15276.580485,27.708317,85.320582,-10.333333,-53.2
Daca,Tirana,6710.393846,23.764386,90.389014,41.328148,19.818444
Zurique,Bruxelas,491.790769,47.374449,8.541042,50.846737,4.352493
Bruxelas,Guarulhos,9646.672265,50.846737,4.352493,-23.467594,-46.52777
Berna,Brasília,8737.214342,46.948474,7.452175,-10.333333,-53.2
Minneapolis,Maceió,8358.714826,44.9773,-93.265469,-9.647684,-35.733926
Maceió,Minneapolis,8358.714826,-9.647684,-35.733926,44.9773,-93.265469
Cedar Rapids - Iowa,Rio de Janeiro,8765.469338,41.975887,-91.670405,-22.911014,-43.209373
Rio de Janeiro,Cedar Rapids - Iowa,8765.469338,-22.911014,-43.209373,41.975887,-91.670405
Vitória,São José do Rio Preto,13462.699377,-36.59861,144.678005,-20.812585,-49.380421
Rio de Janeiro,Munique,9596.079283,-22.911014,-43.209373,48.137108,11.575382
Melbourne,Brasília,14337.332157,-37.814245,144.963173,-10.333333,-53.2
Canberra,Melbourne,463.515182,-35.297591,149.101268,-37.814245,144.963173
Brasília,Melbourne,14337.332157,-10.333333,-53.2,-37.814245,144.963173
Norfolk-Virginia,Miami,1285.774749,36.84937,-76.289954,25.774157,-80.193597
Manaus,Jacareacanga,422.649227,-3.131633,-59.982504,-6.219652,-57.758625
Lisboa,Madri,8342.21337,38.707751,-9.136592,25.049132,81.377551
Tóquio,Lisboa,11148.113057,35.67686,139.763895,38.707751,-9.136592
Chapecó,Itajaí,393.019,-27.092236,-52.616688,-26.904679,-48.655298
Uberaba,Marabá,1606.658429,-19.750833,-47.936666,-5.346282,-49.10074
Marabá,Uberaba,1606.658429,-5.346282,-49.10074,-19.750833,-47.936666
Juiz de Fora,Altamira,8277.09388,-21.760953,-43.350113,43.376844,-4.119748
Zagreb,Frankfurt,722.871869,45.813097,15.97728,50.110644,8.682092
Frankfurt,Gaborone,8485.935264,50.110644,8.682092,-24.658136,25.908847
Caçapava,Campo Grande,965.17911,-23.099204,-45.707645,-20.464017,-54.616295
Campo Grande,Caçapava,965.17911,-20.464017,-54.616295,-23.099204,-45.707645
Mossoró,Cuiabá,2352.2085,-5.190433,-37.344387,-15.598669,-56.09913
Cuiabá,Mossoró,2352.2085,-15.598669,-56.09913,-5.190433,-37.344387
Gramado,Belém,3115.957623,-29.379286,-50.873702,-1.45056,-48.468245
Belém,Gramado,3115.957623,-1.45056,-48.468245,-29.379286,-50.873702
Correia Pinto,Rio de Janeiro,887.246043,-27.587688,-50.361448,-22.911014,-43.209373
Campinas,Correia Pinto,617.42695,-22.905639,-47.059564,-27.587688,-50.361448
Porto Alegre,Bagé,310.62264,-30.0325,-51.230377,-31.331426,-54.106281
Rio de Janeiro,Correia Pinto,887.246043,-22.911014,-43.209373,-27.587688,-50.361448
Florianópolis,Bagé,679.373662,-27.5973,-48.54961,-31.331426,-54.106281
Cuiabá,Juína,545.996596,-15.598669,-56.09913,-11.423091,-58.757021
Chicago,Rio de Janeiro,8528.749106,41.875562,-87.624421,-22.911014,-43.209373
Rio de Janeiro,Chicago,8528.749106,-22.911014,-43.209373,41.875562,-87.624421
Linz,Brasília,9262.862183,48.305908,14.286198,-10.333333,-53.2
Hyderabad,Linz,6677.326557,17.360589,78.474061,48.305908,14.286198
Visakhapatnam,Hyderabad,512.197967,17.693553,83.29213,17.360589,78.474061
Dar es Salaam,Brasília,10141.251283,-6.816084,39.280358,-10.333333,-53.2
Dubai,Goma,4081.891637,25.074282,55.188539,-1.666568,29.225652
Alexandria - Luisiana,Goiânia,7051.679354,31.311946,-92.445356,-16.680882,-49.253269
Goiânia,Alexandria - Luisiana,7051.679354,-16.680882,-49.253269,31.311946,-92.445356
Marília,Pelotas,1088.210186,-22.2172,-49.950006,-31.769974,-52.341016
Pelotas,Marília,1088.210186,-31.769974,-52.341016,-22.2172,-49.950006
Cidade do México,Beirute,12395.394308,19.320772,-99.151468,33.889226,35.502558
Lisboa,Malabo,4289.71415,38.707751,-9.136592,3.741877,8.774066
Confins,Guanambi,614.632878,-19.627875,-43.991231,-14.223066,-42.779943
Ilhéus,Confins,751.545765,-14.792599,-39.045384,-19.627875,-43.991231
Lisboa,Confins,7433.750368,38.707751,-9.136592,-19.627875,-43.991231
Confins,Lisboa,7433.750368,-19.627875,-43.991231,38.707751,-9.136592
Campina Grande,Altamira,6473.065643,-7.224674,-35.877129,43.376844,-4.119748
Casablanca,Iaundê,3854.898228,33.594514,-7.620028,3.868987,11.521334
Brasília,Casablanca,6859.168829,-10.333333,-53.2,33.594514,-7.620028
Washington,Edimburgo,5570.600823,38.895098,-77.036385,55.953346,-3.188375
Rio de Janeiro,Colombo,13686.410783,-22.911014,-43.209373,6.938861,79.8542
Colombo,Guarulhos,14014.041984,6.938861,79.8542,-23.467594,-46.52777
Recife,Maragogi,112.321647,-8.058493,-34.884819,-9.011828,-35.222512
Maragogi,Recife,112.321647,-9.011828,-35.222512,-8.058493,-34.884819
Colombo,Rio de Janeiro,13686.410783,6.938861,79.8542,-22.911014,-43.209373
Guarulhos,Columbus - Geórgia,7439.164471,-23.467594,-46.52777,32.461071,-84.988045
São Paulo,Cairo,10219.670265,-23.550651,-46.633382,30.044388,31.235726
Port Elizabeth,Porto Alegre,7083.873843,-33.96186,25.618673,-30.0325,-51.230377
Bogotá,São Paulo,4323.894624,4.653382,-74.083633,-23.550651,-46.633382
Fortaleza,Sobral,168.32711,-3.793217,-38.528036,-3.856544,-40.04389
Sobral,Fortaleza,168.32711,-3.856544,-40.04389,-3.793217,-38.528036
Genebra,Ottawa,6041.406546,46.201756,6.146601,45.420878,-75.690111
Natal,Buenos Aires,3990.539089,-5.805398,-35.20809,-34.609558,-58.38879
Buenos Aires,Teresina,3653.516233,-34.609558,-58.38879,-5.087461,-42.804957
João Pessoa,Chapecó,2904.237228,-7.121598,-34.882028,-27.092236,-52.616688
Boston,Belo Horizonte,7463.519621,42.358834,-71.05783,-19.922732,-43.945095
Conselheiro Lafaiete,Cambridge - Massachusetts,7548.289035,-20.659611,-43.785743,42.365635,-71.104002
Brazzaville,Brasília,7569.759581,-4.269441,15.271226,-10.333333,-53.2
Florianópolis,Uberaba,874.71188,-27.5973,-48.54961,-19.750833,-47.936666
Uberaba,Florianópolis,874.71188,-19.750833,-47.936666,-27.5973,-48.54961
Rio Verde,Uberlândia,305.706811,-17.792126,-50.919122,-18.918804,-48.276784
Uberlândia,Rio Verde,305.706811,-18.918804,-48.276784,-17.792126,-50.919122
Patos,Rio de Janeiro,1876.955098,-7.025828,-37.276682,-22.911014,-43.209373
Rio de Janeiro,Patos,1876.955098,-22.911014,-43.209373,-7.025828,-37.276682
Patos,Campinas,2052.683511,-7.025828,-37.276682,-22.905639,-47.059564
Campinas,Patos,2052.683511,-22.905639,-47.059564,-7.025828,-37.276682
Bento Gonçalves,Rio de Janeiro,1082.458319,-29.165673,-51.520117,-22.911014,-43.209373
Ponta Grossa,Recife,2492.067692,-25.089168,-50.160181,-8.058493,-34.884819
Manágua,Miami,1643.047078,12.154712,-86.273725,25.774157,-80.193597
Montreal,Rio de Janeiro,8203.728616,45.503182,-73.569806,-22.911014,-43.209373
Rio de Janeiro,Montreal,8203.728616,-22.911014,-43.209373,45.503182,-73.569806
Berlim,Nagoya,8836.873278,52.517388,13.395131,35.185104,136.899844
Tabatinga,Rio de Janeiro,578.409966,-21.737377,-48.688052,-22.911014,-43.209373
Goiânia,Cidade do Cabo,6946.49993,-16.680882,-49.253269,-33.92883,18.41722
Cidade do Cabo,Goiânia,6946.49993,-33.92883,18.41722,-16.680882,-49.253269
Maceió,Navegantes,2348.661858,-9.647684,-35.733926,-26.889881,-48.649583
Navegantes,Guarapuava,326.25012,-26.889881,-48.649583,-25.395099,-51.462202
Curitiba,Navegantes,173.826395,-25.429596,-49.271272,-26.889881,-48.649583
Johannesburg,Porto Alegre,7623.75772,-26.205,28.049722,-30.0325,-51.230377
Genebra,Vitória,16440.604168,46.201756,6.146601,-36.59861,144.678005
Vitória,Genebra,16440.604168,-36.59861,144.678005,46.201756,6.146601
Cidade do México,Monterrey,717.156356,19.320772,-99.151468,25.680202,-100.315258
Monterrey,Cidade do México,717.156356,25.680202,-100.315258,19.320772,-99.151468
Tóquio,Belo Horizonte,18226.15682,35.67686,139.763895,-19.922732,-43.945095
Belo Horizonte,Tóquio,18226.15682,-19.922732,-43.945095,35.67686,139.763895
Caxias do Sul,João Pessoa,2987.443268,-29.168504,-51.179638,-7.121598,-34.882028
João Pessoa,Caxias do Sul,2987.443268,-7.121598,-34.882028,-29.168504,-51.179638
Roma,Copenhague,1533.769514,41.89332,12.482932,55.686724,12.570072
Bali,Nova York,16289.996141,-8.22713,115.19192,40.712728,-74.006015
Zurique,Telavive,9189.093802,47.374449,8.541042,-14.419068,-53.120019
Cordoba,Belo Horizonte,7620.101751,37.884581,-4.776014,-19.922732,-43.945095
Belo Horizonte,Cordoba,7620.101751,-19.922732,-43.945095,37.884581,-4.776014
Vila Velha,Campina Grande,1532.846707,-20.329704,-40.292017,-7.224674,-35.877129
Ribeirão Preto,Uberlândia,255.856273,-21.177632,-47.810098,-18.918804,-48.276784
Uberlândia,Ribeirão Preto,255.856273,-18.918804,-48.276784,-21.177632,-47.810098
Montes Claros,Chapecó,1460.627872,-16.749573,-43.868727,-27.092236,-52.616688
Chapecó,Montes Claros,1460.627872,-27.092236,-52.616688,-16.749573,-43.868727
Maringá,Cascavel,229.461128,-23.425269,-51.938208,-24.9555,-53.456054
Teerã,Baku,538.612654,35.689252,51.3896,40.375588,49.832801
Baku,Teerã,538.612654,40.375588,49.832801,35.689252,51.3896
São José dos Campos,Porto Alegre,927.992678,-23.186778,-45.885454,-30.0325,-51.230377
Curitiba,Canoas,533.649459,-25.429596,-49.271272,-29.921604,-51.179952
Nova Delhi,Paris,6588.810484,28.613895,77.209006,48.85889,2.320041
Canoas,Curitiba,533.649459,-29.921604,-51.179952,-25.429596,-49.271272
Passo Fundo,Rio Branco,2593.318713,-28.25506,-52.396661,-9.976536,-67.822078
Rio Branco,Passo Fundo,2593.318713,-9.976536,-67.822078,-28.25506,-52.396661
Maceió,San Sebastián,6807.999879,-9.647684,-35.733926,43.322422,-1.983889
San Sebastián,Maceió,6807.999879,43.322422,-1.983889,-9.647684,-35.733926
Tabatinga,Chapecó,715.941954,-21.737377,-48.688052,-27.092236,-52.616688
Araçatuba,Navegantes,657.374171,-21.207992,-50.439022,-26.889881,-48.649583
Navegantes,Araçatuba,657.374171,-26.889881,-48.649583,-21.207992,-50.439022
Barcelona,Curitiba,9122.739031,41.38258,2.177073,-25.429596,-49.271272
Curitiba,Barcelona,9122.739031,-25.429596,-49.271272,41.38258,2.177073
Campos dos Goytacazes,Curitiba,906.788357,-21.7546,-41.3242,-25.429596,-49.271272
Alcântara,São José dos Campos,2315.846854,-2.4085,-44.417414,-23.186778,-45.885454
Armação dos Búzios,Recife,1797.757088,-22.75978,-41.887527,-8.058493,-34.884819
Recife,Armação dos Búzios,1797.757088,-8.058493,-34.884819,-22.75978,-41.887527
Porto Alegre,Cidade do Panamá,7524.157999,-30.0325,-51.230377,19.462325,-99.177242
Cidade do Panamá,Porto Alegre,7524.157999,19.462325,-99.177242,-30.0325,-51.230377
Porto Alegre,Ilhéus,2103.734,-30.0325,-51.230377,-14.792599,-39.045384
Ilhéus,Porto Alegre,2103.734,-14.792599,-39.045384,-30.0325,-51.230377
Belém,Joca Claudino,1241.06471,-1.45056,-48.468245,-6.483215,-38.478874
Rio Branco,Montes Claros,2695.912971,-9.976536,-67.822078,-16.749573,-43.868727
Montes Claros,Rio Branco,2695.912971,-16.749573,-43.868727,-9.976536,-67.822078
Manaus,Ji-Paraná,887.647771,-3.131633,-59.982504,-10.877815,-61.927785
Tallin,Marseille,2225.381128,59.437242,24.757269,43.296399,5.377789
Curitiba,Água Boa,1089.734557,-25.429596,-49.271272,-17.995641,-42.389926
Recife,Santo Ângelo,3032.596907,-8.058493,-34.884819,-28.300048,-54.266997
Vitória,Brasília de Minas,14063.226479,-36.59861,144.678005,-16.239105,-44.384509
Foz do Iguaçu,Petrolina,2331.667911,-25.530402,-54.583069,-9.381733,-40.496888
Petrolina,Pato Branco,2270.355535,-9.381733,-40.496888,-26.229598,-52.671247
Ponta Grossa,Cuiabá,1223.013222,-25.089168,-50.160181,-15.598669,-56.09913
Barreiras,Londrina,1416.294032,-12.144003,-44.996741,-23.476127,-51.117901
Londrina,Barreiras,1416.294032,-23.476127,-51.117901,-12.144003,-44.996741
Bristol,Rio de Janeiro,9168.881011,51.453802,-2.597298,-22.911014,-43.209373
Rio de Janeiro,Bristol,9168.881011,-22.911014,-43.209373,51.453802,-2.597298
Roma,Recife,7346.915745,41.89332,12.482932,-8.058493,-34.884819
Brasília,San Salvador,4785.894258,-10.333333,-53.2,13.697629,-89.191156
Uruguaiana,Aracaju,2946.167199,-29.756073,-57.086755,-10.916206,-37.077466
Goiânia,Milão,9067.599139,-16.680882,-49.253269,45.464194,9.189635
Roma,Goiânia,9074.116421,41.89332,12.482932,-16.680882,-49.253269
Curitiba,Milão,9846.736174,-25.429596,-49.271272,45.464194,9.189635
Roma,Curitiba,9807.313673,41.89332,12.482932,-25.429596,-49.271272
Londrina,Boa Vista,3101.832301,-23.476127,-51.117901,2.820848,-60.671958
Borba,Manaus,7111.001175,38.805794,-7.45421,-3.131633,-59.982504
Florianópolis,Jijoca de Jericoacoara,2878.018659,-27.5973,-48.54961,-2.898628,-40.450608
Jijoca de Jericoacoara,Florianópolis,2878.018659,-2.898628,-40.450608,-27.5973,-48.54961
Roanoke - Virgínia,Manaus,4943.325415,37.270973,-79.941431,-3.131633,-59.982504
Manaus,Roanoke - Virgínia,4943.325415,-3.131633,-59.982504,37.270973,-79.941431
Porto Alegre,Potsdam,11079.001744,-30.0325,-51.230377,52.400931,13.05914
Potsdam,Porto Alegre,11079.001744,52.400931,13.05914,-30.0325,-51.230377
Lawton - Oklahoma,Natal,7986.536417,34.605198,-98.395228,-5.805398,-35.20809
Natal,Lawton - Oklahoma,7986.536417,-5.805398,-35.20809,34.605198,-98.395228
Campo Grande,Juazeiro do Norte,2209.980703,-20.464017,-54.616295,-7.215345,-39.315334
São Roque,São José dos Campos,133.210909,-23.530484,-47.135547,-23.186778,-45.885454
